Province,Year,Month,Tourism_Type,Income(Million Baht),Tourism_Amount,Province_EN
กรุงเทพมหานคร,2023,1,ไทย,"15,770.84","2,487,365",Bangkok
กรุงเทพมหานคร,2023,1,ต่างชาติ,"46,497.38","1,953,047",Bangkok
กรุงเทพมหานคร,2023,2,ไทย,"14,466.82","2,281,696",Bangkok
กรุงเทพมหานคร,2023,2,ต่างชาติ,"46,626.39","1,958,466",Bangkok
กรุงเทพมหานคร,2023,3,ไทย,"17,809.10","2,808,837",Bangkok
กรุงเทพมหานคร,2023,3,ต่างชาติ,"49,176.34","2,065,572",Bangkok
กรุงเทพมหานคร,2023,4,ไทย,"26,871.50","2,789,539",Bangkok
กรุงเทพมหานคร,2023,4,ต่างชาติ,"45,017.35","1,890,055",Bangkok
กรุงเทพมหานคร,2023,5,ไทย,"26,999.50","2,802,826",Bangkok
กรุงเทพมหานคร,2023,5,ต่างชาติ,"42,251.74","1,773,941",Bangkok
กรุงเทพมหานคร,2023,6,ไทย,"23,575.00","2,447,327",Bangkok
กรุงเทพมหานคร,2023,6,ต่างชาติ,"47,027.65","1,974,458",Bangkok
กรุงเทพมหานคร,2023,7,ไทย,"19,847.97","2,210,636",Bangkok
กรุงเทพมหานคร,2023,7,ต่างชาติ,"54,316.54","2,258,911",Bangkok
กรุงเทพมหานคร,2023,8,ไทย,"23,941.35","2,666,551",Bangkok
กรุงเทพมหานคร,2023,8,ต่างชาติ,"53,747.62","2,235,251",Bangkok
กรุงเทพมหานคร,2023,9,ไทย,"24,644.66","2,744,885",Bangkok
กรุงเทพมหานคร,2023,9,ต่างชาติ,"47,174.66","1,961,896",Bangkok
กรุงเทพมหานคร,2023,10,ไทย,"20,052.22","2,597,555",Bangkok
กรุงเทพมหานคร,2023,10,ต่างชาติ,"49,288.24","1,778,018",Bangkok
กรุงเทพมหานคร,2023,11,ไทย,"23,663.02","3,065,296",Bangkok
กรุงเทพมหานคร,2023,11,ต่างชาติ,"54,084.57","1,951,040",Bangkok
กรุงเทพมหานคร,2023,12,ไทย,"23,040.80","2,984,695",Bangkok
กรุงเทพมหานคร,2023,12,ต่างชาติ,"60,412.81","2,179,324",Bangkok
กาญจนบุรี,2023,1,ไทย,"3,230.20","1,297,595",Kanchanaburi
กาญจนบุรี,2023,1,ต่างชาติ,92.50,"17,475",Kanchanaburi
กาญจนบุรี,2023,2,ไทย,"2,944.81","1,182,952",Kanchanaburi
กาญจนบุรี,2023,2,ต่างชาติ,113.37,"21,417",Kanchanaburi
กาญจนบุรี,2023,3,ไทย,"2,916.06","1,171,399",Kanchanaburi
กาญจนบุรี,2023,3,ต่างชาติ,121.72,"22,991",Kanchanaburi
กาญจนบุรี,2023,4,ไทย,"2,905.13","1,228,457",Kanchanaburi
กาญจนบุรี,2023,4,ต่างชาติ,117.78,"24,653",Kanchanaburi
กาญจนบุรี,2023,5,ไทย,"2,714.96","1,148,042",Kanchanaburi
กาญจนบุรี,2023,5,ต่างชาติ,120.32,"25,185",Kanchanaburi
กาญจนบุรี,2023,6,ไทย,"2,553.24","1,079,651",Kanchanaburi
กาญจนบุรี,2023,6,ต่างชาติ,118.68,"24,842",Kanchanaburi
กาญจนบุรี,2023,7,ไทย,"2,574.35","1,114,601",Kanchanaburi
กาญจนบุรี,2023,7,ต่างชาติ,122.49,"30,300",Kanchanaburi
กาญจนบุรี,2023,8,ไทย,"2,816.07","1,219,257",Kanchanaburi
กาญจนบุรี,2023,8,ต่างชาติ,114.31,"28,277",Kanchanaburi
กาญจนบุรี,2023,9,ไทย,"2,505.98","1,084,997",Kanchanaburi
กาญจนบุรี,2023,9,ต่างชาติ,97.73,"24,174",Kanchanaburi
